"id","title","short_title","api_uri","first_name","last_name","date_of_birth","party","govtrack_id","icpsr_id","fec_candidate_id","url","in_office","seniority","total_votes","missed_votes","total_present","last_updated","ocd_id","state","senate_class","state_rank","lis_id","missed_votes_pct","votes_with_party_pct","votes_against_party_pct","middle_name","gender","twitter_account","youtube_account","cspan_id","google_entity_id","suffix","next_election","facebook_account","votesmart_id","crp_id","rss_url"
"A000031","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/A000031.json","Brockman","Adams","1927-01-13","D","400692","10700","","",false,"5",550,3,1,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:wa","WA","3","","S180",0.55,91.96,8.04,,,,,,,,,,,,
"A000069","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/A000069.json","Daniel","Akaka","1924-09-11","D","300001","14400","","",false,"3",550,4,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:hi","HI","1","","S213",0.73,90.82,9.18,"K.","M","SenatorAkaka","senatorakaka","8704","/m/01rbrq",,,,,,
"B000243","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B000243.json","Max","Baucus","1941-12-11","D","300005","14203","","http://www.baucus.senate.gov",false,"13",550,3,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:mt","MT","2","","S127",0.55,88.04,11.96,,"M",,"SenatorBaucus","1727","/m/01rcm2",,,,,,
"B000401","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B000401.json","Lloyd","Bentsen","1921-02-11","D","401391","660","","",false,"21",550,30,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:tx","TX","1","","S009",5.45,82.91,17.09,"Millard",,,,,,,,,,,
"B000444","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B000444.json","Joseph","Biden","1942-11-20","D","300008","14101","","",false,"19",550,21,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:de","DE","2","","S010",3.82,89.96,10.04,"R.","M",,,"34",,"Jr.",,,,,
"B000468","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B000468.json","Jeff","Bingaman","1943-10-03","D","300009","15101","","",false,"9",550,23,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:nm","NM","1","","S167",4.18,83.88,16.12,,"M","jeffbingaman","SenJeffBingaman","590","/m/01xck2",,,,,,
"B000611","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B000611.json","Christopher","Bond","1939-03-06","R","300010","15500","","",false,"5",550,34,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:mo","MO","3","","S200",6.18,86.86,13.14,"S.","M",,"CSBondMO","2360","/m/01_6h2",,,,,,
"B000639","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B000639.json","David","Boren","1941-04-21","D","401604","14700","","",false,"13",550,31,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ok","OK","2","","S128",5.64,78.04,21.96,"Lyle","M",,,,,,,,,,
"B001225","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B001225.json","William","Bradley","1943-07-28","D","401709","14702","","",false,"13",550,39,1,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:nj","NJ","2","","S132",7.09,85.43,14.57,"Warren","M",,,,,,,,,,
"B000780","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B000780.json","John","Breaux","1944-03-01","D","300012","13056","","",false,"5",550,20,1,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:la","LA","3","","S179",3.64,79.27,20.73,"B.","M",,,,,,,,,,
