"id","title","short_title","api_uri","first_name","middle_name","last_name","date_of_birth","gender","party","twitter_account","youtube_account","govtrack_id","cspan_id","icpsr_id","google_entity_id","fec_candidate_id","url","in_office","seniority","next_election","total_votes","missed_votes","total_present","last_updated","ocd_id","state","senate_class","state_rank","lis_id","missed_votes_pct","votes_with_party_pct","votes_against_party_pct","facebook_account","votesmart_id","crp_id","rss_url","suffix"
"A000069","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/A000069.json","Daniel","K.","Akaka","1924-09-11","M","D","SenatorAkaka","senatorakaka","300001","8704","14400","/m/01rbrq","","",false,"19","2012",696,1,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:hi","HI","1","","S213",0.14,97.11,2.89,,,,,
"A000360","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/A000360.json","Lamar",,"Alexander","1940-07-03","M","R","SenAlexander","lamaralexander","300002","5","40304","/m/01rbs3","","https://www.alexander.senate.gov/public",false,"7","2014",696,10,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:tn","TN","2","","S289",1.44,84.34,15.66,"senatorlamaralexander","15691","N00009888","https://www.alexander.senate.gov/public/?a=RSS.Feed",
"B001261","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B001261.json","John",,"Barrasso","1952-07-21","M","R","SenJohnBarrasso","barrassowyo","412251","1024777","40707","/m/02rsm32","","https://www.barrasso.senate.gov",false,"3","2012",696,0,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:wy","WY","1","","S317",0,95.19,4.81,"johnbarrasso","52662","N00006236","https://www.barrasso.senate.gov/public/?a=rss.feed",
"B000243","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B000243.json","Max",,"Baucus","1941-12-11","M","D",,"SenatorBaucus","300005","1727","14203","/m/01rcm2","","http://www.baucus.senate.gov",false,"31","2014",696,5,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:mt","MT","2","","S127",0.72,93.45,6.55,,,,,
"B001233","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B001233.json","Evan",,"Bayh","1955-12-26","M","D",,"SenEvanBayh","300006",,"49901","/m/01rcnr","","",false,"11","2010",696,35,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:in","IN","3","","S264",5.03,72.91,27.09,,,,,
"B001265","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B001265.json","Mark",,"Begich","1962-03-30","M","D",,,"412326","1030732","40900","/m/05pqtr","","http://www.begich.senate.gov",false,"1","2014",696,21,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:ak","AK","2","","S319",3.02,94.04,5.96,"Begich",,,,
"B001267","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B001267.json","Michael",,"Bennet","1964-11-28","M","D","SenBennetCo","SenatorBennet","412330","1031622","40910","/m/05b60qf","","https://www.bennet.senate.gov/public",false,"1","2010",686,0,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:co","CO","3","","S330",0,91.2,8.8,"senbennetco","110942","N00030608",,
"B000382","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B000382.json","Robert","F.","Bennett","1933-09-18","M","R",,"SenatorBennett","300007","25708","49307","/m/01xtg9","","",false,"17","2010",696,58,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:ut","UT","3","","S231",8.33,88.45,11.55,,,,,
"B000444","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B000444.json","Joseph","R.","Biden","1942-11-20","M","D",,,"300008","34","14101",,"","",false,"36",,5,3,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:de","DE","2","","S010",60,100,0,,,,,"Jr."
"B000468","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B000468.json","Jeff",,"Bingaman","1943-10-03","M","D","jeffbingaman","SenJeffBingaman","300009","590","15101","/m/01xck2","","",false,"27","2012",696,1,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:nm","NM","1","","S167",0.14,94.79,5.21,,,,,
