"id","title","short_title","api_uri","first_name","last_name","date_of_birth","gender","party","twitter_account","youtube_account","govtrack_id","icpsr_id","google_entity_id","fec_candidate_id","url","in_office","seniority","last_updated","ocd_id","state","district","at_large","geoid","middle_name","cspan_id","facebook_account","votesmart_id","crp_id","rss_url","suffix","senate_class","state_rank","lis_id"
"A000014","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000014.json","Neil","Abercrombie","1938-06-26","M","D","neilabercrombie","hawaiirep1","400001","15244","/m/0255rj","","",false,"2","2016-06-14 16:25:53 -0400","ocd-division/country:us/state:hi/cd:1","HI","1",false,"1501",,,,,,,,,,
"A000022","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000022.json","Gary","Ackerman","1942-11-19","M","D","repgaryackerman","RepAckerman","400003","15080","/m/03rhdq","","",false,"4","2016-06-14 16:25:53 -0400","ocd-division/country:us/state:ny/cd:7","NY","7",false,"3607","L.","1002061",,,,,,,,
"A000052","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000052.json","Joseph","Addabbo","1925-03-17","M","D",,,"400713","10500",,"","",false,"26","2013-04-12 20:11:53 -0400","ocd-division/country:us/state:ny/cd:6","NY","6",false,"3606","Patrick",,,,,,,,,
"A000069","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000069.json","Daniel","Akaka","1924-09-11","M","D","SenatorAkaka","senatorakaka","300001","14400","/m/01rbrq","","",false,"10","2016-06-14 16:25:53 -0400","ocd-division/country:us/state:hi/cd:2","HI","2",false,"1502","K.","8704",,,,,,,,
"A000103","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000103.json","William","Alexander","1934-01-16","M","D",,,"400761","12000",,"","",false,"18","2013-04-12 20:11:55 -0400","ocd-division/country:us/state:ar/cd:1","AR","1",false,"0501","Vollie",,,,,,,,,
"A000189","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000189.json","Glenn","Anderson","1913-02-21",,"D",,,"400844","12001",,"","",false,"18","2013-04-12 20:11:55 -0400","ocd-division/country:us/state:ca/cd:32","CA","32",false,"0632","Malcolm",,,,,,,,,
"A000209","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000209.json","Michael","Andrews","1944-02-07","M","D",,,"400882","15000",,"","",false,"4","2013-04-12 20:11:57 -0400","ocd-division/country:us/state:tx/cd:25","TX","25",false,"4825",,,,,,,,,,
"A000212","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000212.json","Frank","Annunzio","1915-01-12","M","D",,,"400895","10703",,"","",false,"22","2013-04-12 20:11:55 -0400","ocd-division/country:us/state:il/cd:11","IL","11",false,"1711",,,,,,,,,,
"A000213","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000213.json","Beryl","Anthony","1938-02-21",,"D",,,"400898","14601",,"","",false,"8","2013-04-12 20:11:55 -0400","ocd-division/country:us/state:ar/cd:4","AR","4",false,"0504","Franklin",,,,,,,,,
"A000214","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000214.json","Douglas","Applegate","1928-03-27","M","D",,,"400906","14402",,"","",false,"10","2013-04-12 20:11:57 -0400","ocd-division/country:us/state:oh/cd:18","OH","18",false,"3918",,,,,,,,,,
"A000215","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000215.json","Bill","Archer","1928-03-22","M","R",,,"400567","13002",,"","",false,"16","2013-04-12 20:11:59 -0400","ocd-division/country:us/state:tx/cd:7","TX","7",false,"4807",,,,,,,,,,
"A000217","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000217.json","Richard","Armey","1940-07-07","M","R",,,"400551","15200",,"","",false,"2","2013-04-12 20:12:00 -0400","ocd-division/country:us/state:tx/cd:26","TX","26",false,"4826","K.",,,,,,,,,
"A000224","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000224.json","Leslie","Aspin","1938-07-21","M","D",,,"400967","13003",,"","",false,"16","2013-04-12 20:11:57 -0400","ocd-division/country:us/state:wi/cd:1","WI","1",false,"5501",,,,,,,,,,
"A000226","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000226.json","Chester","Atkins","1948-04-14","M","D",,,"400975","15201",,"","",false,"2","2013-04-12 20:11:55 -0400","ocd-division/country:us/state:ma/cd:5","MA","5",false,"2505","Greenough",,,,,,,,,
"A000337","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000337.json","Les","AuCoin","1942-10-21",,"D",,,"400987","14201",,"","",false,"12","2013-04-12 20:11:55 -0400","ocd-division/country:us/state:or/cd:1","OR","1",false,"4101",,,,,,,,,,
"B000024","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000024.json","Robert","Badham","1929-06-09","M","R",,,"401029","14403",,"","",false,"10","2013-04-12 20:11:54 -0400","ocd-division/country:us/state:ca/cd:40","CA","40",false,"0640","Edward",,,,,,,,,
"B000153","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000153.json","Druie","Barnard","1922-03-20",,"D",,,"401155","14404",,"","",false,"10","2013-04-12 20:11:55 -0400","ocd-division/country:us/state:ga/cd:10","GA","10",false,"1310","Douglas",,,,,,,,,
"B000160","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000160.json","Michael","Barnes","1943-09-03","M","D",,,"401162","14604",,"","",false,"8","2013-04-12 20:11:53 -0400","ocd-division/country:us/state:md/cd:8","MD","8",false,"2408","Darr",,,,,,,,,
"B000204","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000204.json","Harry","Bartlett","1947-09-19","M","R",,,"401203","15001",,"","",false,"4","2013-04-12 20:11:55 -0400","ocd-division/country:us/state:tx/cd:3","TX","3",false,"4803","Stephen",,,,,,,,,
"B000213","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000213.json","Joe","Barton","1949-09-15","M","R","RepJoeBarton","repjoebarton","400018","15085","/m/03rspq","","https://joebarton.house.gov",false,"2","2018-03-07 08:14:15 -0500","ocd-division/country:us/state:tx/cd:6","TX","6",false,"4806","L.","5248","RepJoeBarton","27082","N00005656",,,,,
"B000229","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000229.json","Herbert","Bateman","1928-08-07","M","R",,,"400569","15002",,"","",false,"4","2013-04-12 20:11:59 -0400","ocd-division/country:us/state:va/cd:1","VA","1",false,"5101","H.",,,,,,,,,
"B000236","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000236.json","Jim","Bates","1941-07-21",,"D",,,"401231","15003",,"","",false,"4","2013-04-12 20:11:54 -0400","ocd-division/country:us/state:ca/cd:44","CA","44",false,"0644",,,,,,,,,,
"B000298","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000298.json","Berkley","Bedell","1921-03-05",,"D",,,"401291","14205",,"","",false,"12","2013-04-12 20:11:53 -0400","ocd-division/country:us/state:ia/cd:6","IA","6",false,"1906","Warren",,,,,,,,,
"B000318","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000318.json","Anthony","Beilenson","1932-10-26","M","D",,,"401310","14405",,"","",false,"10","2013-04-12 20:11:58 -0400","ocd-division/country:us/state:ca/cd:23","CA","23",false,"0623","C.",,,,,,,,,
"B000371","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000371.json","Charles","Bennett","1910-12-02","M","D",,,"401363","633",,"","",false,"38","2013-04-12 20:11:55 -0400","ocd-division/country:us/state:fl/cd:3","FL","3",false,"1203","Edward",,,,,,,,,
"B000392","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000392.json","Helen","Bentley","1923-11-28","F","R",,,"401383","15203",,"","",false,"2","2013-04-12 20:11:57 -0400","ocd-division/country:us/state:md/cd:2","MD","2",false,"2402","Delich",,,,,,,,,
"B000403","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000403.json","Douglas","Bereuter","1939-10-06","M","R",,,"400023","14605",,"","",false,"8","2013-04-12 20:12:01 -0400","ocd-division/country:us/state:ne/cd:1","NE","1",false,"3101","K.",,,,,,,,,
"B000410","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000410.json","Howard","Berman","1941-04-15","M","D","RepHowardBerman","RepHowardBerman","400025","15004",,"","",false,"4","2016-05-03 15:22:14 -0400","ocd-division/country:us/state:ca/cd:26","CA","26",false,"0626","L.","1592",,,,,,,,
"B000431","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000431.json","Tom","Bevill","1921-03-27","M","D",,,"401417","11000",,"","",false,"20","2013-04-12 20:11:58 -0400","ocd-division/country:us/state:al/cd:4","AL","4",false,"0104",,,,,,,,,,
"B000432","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000432.json","Mario","Biaggi","1917-10-26",,"D",,,"401418","12003",,"","",false,"18","2013-04-12 20:11:54 -0400","ocd-division/country:us/state:ny/cd:19","NY","19",false,"3619",,,,,,,,,,
"B000463","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000463.json","Michael","Bilirakis","1930-07-16","M","R",,,"400028","15005",,"","",false,"4","2013-04-12 20:12:02 -0400","ocd-division/country:us/state:fl/cd:9","FL","9",false,"1209",,,,,,,,,,
"B000551","Delegate","Del.","https://api.propublica.org/congress/v1/members/B000551.json","Ben","Blaz","1928-02-14",,"R",,,"401526","15261",,"","",false,"2","2013-04-12 20:11:55 -0400","ocd-division/country:us/state:gu/cd:79","GU","At-Large",true,"6698","Garrido",,,,,,,,,
"B000556","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000556.json","Tom","Bliley","1932-01-28","M","R",,,"400571","14802",,"","",false,"6","2013-04-12 20:11:59 -0400","ocd-division/country:us/state:va/cd:3","VA","3",false,"5103",,,,,,,,,,
"B000586","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000586.json","Sherwood","Boehlert","1936-09-28","M","R",,,"400035","15006",,"","",false,"4","2013-04-12 20:12:02 -0400","ocd-division/country:us/state:ny/cd:25","NY","25",false,"3625","L.",,,,,,,,,
"B000592","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000592.json","Corinne","Boggs","1916-03-13","F","D",,,"401560","14067",,"","",false,"14","2013-04-12 20:11:54 -0400","ocd-division/country:us/state:la/cd:2","LA","2",false,"2202","Claiborne",,,,,,,,,
"B000600","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000600.json","Edward","Boland","1911-10-01","M","D",,,"401568","830",,"","",false,"34","2013-04-12 20:11:54 -0400","ocd-division/country:us/state:ma/cd:2","MA","2",false,"2502","Patrick",,,,,,,,,
"B000615","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000615.json","William","Boner","1945-02-14","M","D",,,"401582","14607",,"","",false,"8","2013-04-12 20:11:54 -0400","ocd-division/country:us/state:tn/cd:5","TN","5",false,"4705","Hill",,,,,,,,,
