"id","title","short_title","api_uri","first_name","last_name","date_of_birth","gender","party","twitter_account","youtube_account","govtrack_id","icpsr_id","google_entity_id","fec_candidate_id","url","in_office","seniority","total_votes","missed_votes","total_present","last_updated","ocd_id","state","district","at_large","geoid","missed_votes_pct","votes_with_party_pct","votes_against_party_pct","middle_name","cspan_id","facebook_account","votesmart_id","crp_id","rss_url","suffix"
"A000014","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000014.json","Neil","Abercrombie","1938-06-26","M","D","neilabercrombie","hawaiirep1","400001","15244","/m/0255rj","","",false,"10",1187,15,3,"2019-10-08 02:28:37 -0400","ocd-division/country:us/state:hi/cd:1","HI","1",false,"1501",1.26,88.67,11.86,,,,,,,
"A000022","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000022.json","Gary","Ackerman","1942-11-19","M","D","repgaryackerman","RepAckerman","400003","15080","/m/03rhdq","","",false,"16",1187,105,0,"2019-10-08 02:28:37 -0400","ocd-division/country:us/state:ny/cd:5","NY","5",false,"3605",8.85,95.38,5.1,"L.","1002061",,,,,
"A000055","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000055.json","Robert","Aderholt","1965-07-22","M","R","Robert_Aderholt","RobertAderholt","400004","29701","/m/024p03","","https://aderholt.house.gov",false,"2",1187,4,0,"2021-03-02 02:35:23 -0500","ocd-division/country:us/state:al/cd:4","AL","4",false,"0104",0.34,93.9,6.62,"B.","45516","RobertAderholt","441","N00003028","https://aderholt.house.gov/rss.xml",
"A000357","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000357.json","Thomas","Allen","1945-04-16","M","D",,,"400007","29728",,"","",false,"2",1187,17,0,"2019-10-08 02:28:37 -0400","ocd-division/country:us/state:me/cd:1","ME","1",false,"2301",1.43,94.11,6.33,"H.",,,,,,
"A000210","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000210.json","Robert","Andrews","1957-08-04","M","D","RepAndrews",,"400008","29132",,"","http://andrews.house.gov/",false,"10",1187,95,1,"2019-10-08 02:28:37 -0400","ocd-division/country:us/state:nj/cd:1","NJ","1",false,"3401",8,88.4,12.18,"E.","19670",,,,,
"A000215","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000215.json","Bill","Archer","1928-03-22","M","R",,,"400567","13002",,"","",false,"28",1187,54,0,"2019-10-08 02:28:37 -0400","ocd-division/country:us/state:tx/cd:7","TX","7",false,"4807",4.55,95.07,5.11,,,,,,,
"A000217","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000217.json","Richard","Armey","1940-07-07","M","R",,,"400551","15200",,"","",false,"14",1187,35,0,"2019-10-08 02:28:37 -0400","ocd-division/country:us/state:tx/cd:26","TX","26",false,"4826",2.95,94.72,5.82,"K.",,,,,,
"B000013","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000013.json","Spencer","Bachus","1947-12-28","M","R","BachusAL06","congressmanbachus","400010","29301","/m/024p0v","","http://bachus.house.gov",false,"6",1187,11,0,"2019-10-08 02:28:37 -0400","ocd-division/country:us/state:al/cd:6","AL","6",false,"0106",0.93,92.99,7.54,,"26397","SpencerBachus",,,,
"B000028","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000028.json","Scotty","Baesler","1941-07-09","M","D",,,"401033","29353",,"","",false,"6",1187,38,0,"2019-10-08 02:28:37 -0400","ocd-division/country:us/state:ky/cd:6","KY","6",false,"2106",3.2,80.51,20.04,,,,,,,
"B000072","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000072.json","Richard","Baker","1948-05-22","M","R",,,"400012","15400",,"","",false,"12",1187,65,0,"2019-10-08 02:28:37 -0400","ocd-division/country:us/state:la/cd:6","LA","6",false,"2206",5.48,96.79,3.76,"Hugh",,,,,,
