"id","title","short_title","api_uri","first_name","middle_name","last_name","date_of_birth","gender","party","twitter_account","youtube_account","govtrack_id","cspan_id","icpsr_id","google_entity_id","fec_candidate_id","url","in_office","dw_nominate","seniority","next_election","total_votes","missed_votes","total_present","last_updated","ocd_id","state","senate_class","state_rank","lis_id","missed_votes_pct","votes_with_party_pct","votes_against_party_pct","facebook_account","votesmart_id","crp_id","rss_url","suffix"
"A000069","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/A000069.json","Daniel","K.","Akaka","1924-09-11","M","D","SenatorAkaka","senatorakaka","300001","8704","14400","/m/01rbrq","","",false,-0.419,"21","2012",486,11,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:hi","HI","1","","S213",2.26,96.19,3.81,,,,,
"A000360","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/A000360.json","Lamar",,"Alexander","1940-07-03","M","R","SenAlexander","lamaralexander","300002","5","40304","/m/01rbs3","","https://www.alexander.senate.gov/public",false,0.323,"9","2014",486,16,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:tn","TN","2","","S289",3.29,88.55,11.45,"senatorlamaralexander","15691","N00009888","https://www.alexander.senate.gov/public/?a=RSS.Feed",
"A000368","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/A000368.json","Kelly",,"Ayotte","1968-06-27","F","R","KellyAyotte","SenatorAyotte","412493","95241","41106","/m/0g9g4r","","http://www.ayotte.senate.gov",false,0.351,"1","2016",486,4,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:nh","NH","3","","S340",0.82,90.91,9.09,"kellyayottenh",,,"http://www.ayotte.senate.gov/rss/",
"B001261","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B001261.json","John",,"Barrasso","1952-07-21","M","R","SenJohnBarrasso","barrassowyo","412251","1024777","40707","/m/02rsm32","","https://www.barrasso.senate.gov",false,0.53,"5","2012",486,10,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:wy","WY","1","","S317",2.06,92.08,7.92,"johnbarrasso","52662","N00006236","https://www.barrasso.senate.gov/public/?a=rss.feed",
"B000243","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B000243.json","Max",,"Baucus","1941-12-11","M","D",,"SenatorBaucus","300005","1727","14203","/m/01rcm2","","http://www.baucus.senate.gov",false,-0.212,"33","2014",486,4,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:mt","MT","2","","S127",0.82,91.44,8.56,,,,,
"B001265","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B001265.json","Mark",,"Begich","1962-03-30","M","D",,,"412326","1030732","40900","/m/05pqtr","","http://www.begich.senate.gov",false,-0.235,"3","2014",486,10,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:ak","AK","2","","S319",2.06,91.98,8.02,"Begich",,,,
"B001267","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B001267.json","Michael",,"Bennet","1964-11-28","M","D","SenBennetCo","SenatorBennet","412330","1031622","40910","/m/05b60qf","","https://www.bennet.senate.gov/public",false,-0.207,"3","2016",486,6,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:co","CO","3","","S330",1.23,94.55,5.45,"senbennetco","110942","N00030608",,
"B000468","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B000468.json","Jeff",,"Bingaman","1943-10-03","M","D","jeffbingaman","SenJeffBingaman","300009","590","15101","/m/01xck2","","",false,,"29","2012",486,5,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:nm","NM","1","","S167",1.03,96.44,3.56,,,,,
"B001277","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B001277.json","Richard",,"Blumenthal","1946-02-13","M","D","SenBlumenthal","SenatorBlumenthal","412490","21799","41101","/m/03tg8m","","https://www.blumenthal.senate.gov",false,-0.421,"1","2016",486,14,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:ct","CT","3","","S341",2.88,95.96,4.04,"SenBlumenthal","1568","N00031685","https://www.blumenthal.senate.gov/rss/feeds/?type=press",
"B000575","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B000575.json","Roy",,"Blunt","1950-01-10","M","R","RoyBlunt","SenatorBlunt","400034","45465","29735","/m/034fn4","","https://www.blunt.senate.gov",false,0.43,"1","2016",486,11,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:mo","MO","3","","S342",2.26,84.15,15.85,"SenatorBlunt","418","N00005195",,
"B001236","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B001236.json","John",,"Boozman","1950-12-10","M","R","JohnBoozman","BoozmanPressOffice","400040","92069","20101","/m/024s3v","","https://www.boozman.senate.gov/public",false,0.401,"1",,486,11,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:ar","AR","3","","S343",2.26,91.85,8.15,"JohnBoozman","27958","N00013873","https://www.boozman.senate.gov/public/?a=RSS.Feed",
"B000711","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B000711.json","Barbara",,"Boxer","1940-11-11","F","D","SenatorBoxer","SenatorBoxer","300011","2470","15011","/m/01c1n5","","https://www.boxer.senate.gov",false,-0.45,"19","2016",486,39,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:ca","CA","3","","S223",8.02,95.5,4.5,"senatorboxer",,,"https://www.boxer.senate.gov/rss/?p=release",
"B001268","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B001268.json","Scott",,"Brown","1959-09-12","M","R","USSenScottBrown",,"412384","9266532",,"/m/0bmg6w","","",false,,"3","2012",486,4,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:ma","MA","1","","S335",0.82,67.44,32.56,,,,,
"B000944","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B000944.json","Sherrod",,"Brown","1952-11-09","M","D","SenSherrodBrown","SherrodBrownOhio","400050","5051","29389","/m/034s80","","https://www.brown.senate.gov",false,-0.438,"5","2012",486,6,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:oh","OH","1","","S307",1.23,95.39,4.61,"SenatorSherrodBrown","27018","N00003535",,
"B001135","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B001135.json","Richard","M.","Burr","1955-11-30","M","R","SenatorBurr","SenatorRichardBurr","400054","31054","29548","/m/03g_s9","","https://www.burr.senate.gov",false,0.453,"7","2016",486,30,2,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:nc","NC","3","","S300",6.17,91.52,8.48,"SenatorRichardBurr","21787","N00002221",,
"C000127","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/C000127.json","Maria",,"Cantwell","1958-10-13","F","D","SenatorCantwell","SenatorCantwell","300018","26137","39310","/m/01x68t","","https://www.cantwell.senate.gov",false,-0.292,"11","2012",486,2,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:wa","WA","1","","S275",0.41,94.39,5.61,"senatorcantwell","27122","N00007836",,
"C000141","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/C000141.json","Benjamin","L.","Cardin","1943-10-05","M","D","SenatorCardin","senatorcardin","400064","4004","15408","/m/025k3k","","https://www.cardin.senate.gov",false,-0.327,"5","2012",486,1,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:md","MD","1","","S308",0.21,97.51,2.49,"senatorbencardin","26888","N00001955",,
"C000174","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/C000174.json","Thomas","R.","Carper","1947-01-23","M","D","SenatorCarper","senatorcarper","300019","663","15015","/m/01xw7t","","https://www.carper.senate.gov",false,-0.173,"11","2012",486,1,0,"2023-01-03 08:06:28 -0500","ocd-division/country:us/state:de","DE","1","","S277",0.21,93.36,6.64,"tomcarper","22421","N00012508","https://www.carper.senate.gov/public/?a=RSS.Feed",
"C001070","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/C001070.json","Bob",,"Casey","1960-04-13","M","D","SenBobCasey","SenatorBobCasey","412246","47036","40703","/m/047ymw","","https://www.casey.senate.gov",false,-0.302,"5","2012",486,7,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:pa","PA","1","","S309",1.44,94.33,5.67,"SenatorBobCasey","2541","N00027503",,
"C000286","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/C000286.json","Saxby",,"Chambliss","1943-11-10","M","R","SaxbyChambliss","SenatorChambliss","300021","36571","29512","/m/01xcms","","http://www.chambliss.senate.gov",false,0.423,"9","2014",486,16,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:ga","GA","2","","S290",3.29,92.41,7.59,"SaxbyChambliss",,,,
"C000542","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/C000542.json","Daniel",,"Coats","1943-05-16","M","R","SenDanCoats","SenatorCoats","402675","6080","14806","/m/0jl26","","http://www.coats.senate.gov",false,0.375,"1","2016",486,4,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:in","IN","3","","S212",0.82,91.33,8.67,"180671148633644",,,,
"C000560","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/C000560.json","Tom",,"Coburn","1948-03-14","M","R","TomCoburn","SenatorCoburn","400576","36751","29555","/m/03wnjr","","http://www.coburn.senate.gov",false,0.782,"7","2016",486,32,1,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:ok","OK","3","","S301",6.58,85.68,14.32,,,,,
"C000567","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/C000567.json","Thad",,"Cochran","1937-12-07","M","R","SenThadCochran","sencochran","300023","1200","14009","/m/01fmcd","","https://www.cochran.senate.gov",false,0.287,"33","2014",486,4,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:ms","MS","2","","S136",0.82,83.09,16.91,,"53312","N00003328",,
"C001035","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/C001035.json","Susan",,"Collins","1952-12-07","F","R","SenatorCollins","SenatorSusanCollins","300025","45738","49703","/m/020y8m","","https://www.collins.senate.gov",false,0.109,"15","2014",486,0,0,"2019-11-18 02:30:22 -0500","ocd-division/country:us/state:me","ME","2","","S252",0,66.46,33.54,"susancollins","379","N00000491","https://www.collins.senate.gov/?q=rss.xml",
"C000705","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/C000705.json","Kent",,"Conrad","1948-03-12","M","D",,"SenatorConrad","300026","2517","15501","/m/021fx2","","",false,,"25","2012",486,12,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:nd","ND","1","","S201",2.47,94.69,5.31,,,,,
"C001088","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/C001088.json","Christopher","A.","Coons","1963-09-09","M","D","ChrisCoons","senatorchriscoons","412390","9269028","40916","/m/082d3d","","https://www.coons.senate.gov",false,-0.247,"3","2014",486,1,0,"2019-11-18 02:30:22 -0500","ocd-division/country:us/state:de","DE","2","","S337",0.21,96.68,3.32,"senatorchriscoons","122834","N00031820",,
"C001071","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/C001071.json","Bob",,"Corker","1952-08-24","M","R","SenBobCorker","senatorcorker","412248","1021114","40705","/m/0d9fz3","","https://www.corker.senate.gov",false,0.395,"5","2012",486,9,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:tn","TN","1","","S310",1.85,89.96,10.04,"bobcorker","65905","N00027441",,
"C001056","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/C001056.json","John",,"Cornyn","1952-02-02","M","R","JohnCornyn","senjohncornyn","300027","93131","40305","/m/01xcqs","","https://www.cornyn.senate.gov",false,0.496,"9","2014",486,6,0,"2019-11-18 02:30:20 -0500","ocd-division/country:us/state:tx","TX","2","","S287",1.23,92.8,7.2,"sen.johncornyn","15375","N00024852",,
"C000880","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/C000880.json","Michael","D.","Crapo","1951-05-20","M","R","MikeCrapo","senatorcrapo","300030","26440","29345","/m/021pgp","","https://www.crapo.senate.gov",false,0.508,"13","2016",486,8,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:id","ID","3","","S266",1.65,88.51,11.49,"mikecrapo","26830","N00006267",,
"D000595","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/D000595.json","Jim",,"DeMint","1951-09-02","M","R","JimDeMint","SenJimDeMint","400105","57895","29936","/m/02v30g","","",false,0.7,"7","2016",486,55,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:sc","SC","3","","S302",11.32,75.89,24.11,,,,,
