"id","title","short_title","api_uri","first_name","last_name","date_of_birth","gender","party","twitter_account","facebook_account","govtrack_id","cspan_id","votesmart_id","icpsr_id","crp_id","google_entity_id","fec_candidate_id","url","rss_url","in_office","seniority","next_election","total_votes","missed_votes","total_present","last_updated","ocd_id","office","phone","state","district","at_large","geoid","missed_votes_pct","votes_with_party_pct","votes_against_party_pct","middle_name","youtube_account","leadership_role","suffix"
"A000370","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000370.json","Alma","Adams","1946-05-27","F","D","RepAdams","CongresswomanAdams","412607","76386","5935","21545","N00035451","/m/02b45d","H4NC12100","https://adams.house.gov","https://adams.house.gov/rss.xml",true,"12","2024",31,0,0,"2023-01-17 02:00:10 -0500","ocd-division/country:us/state:nc/cd:12","2436 Rayburn House Office Building","202-225-1510","NC","12",false,"3712",0,46.67,3.33,,,,
"A000055","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000055.json","Robert","Aderholt","1965-07-22","M","R","Robert_Aderholt","RobertAderholt","400004","45516","441","29701","N00003028","/m/024p03","H6AL04098","https://aderholt.house.gov","https://aderholt.house.gov/rss.xml",true,"28","2024",31,0,0,"2023-01-17 02:00:11 -0500","ocd-division/country:us/state:al/cd:4","266 Cannon House Office Building","202-225-4876","AL","4",false,"0104",0,50,0,"B.","RobertAderholt",,
"A000371","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000371.json","Pete","Aguilar","1979-06-19","M","D","reppeteaguilar","reppeteaguilar","412615","79994","70114","21506","N00033997","/m/0jwv0xf","H2CA31125","https://aguilar.house.gov",,true,"10","2024",31,0,0,"2023-01-17 02:00:09 -0500","ocd-division/country:us/state:ca/cd:33","108 Cannon House Office Building","202-225-3201","CA","33",false,"0633",0,46.67,3.33,,,"House Democratic Caucus Vice Chair",
"A000379","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000379.json","Mark","Alford","1963-10-04","M","R",,,"456909",,,,,,"H2MO04207","https://alford.house.gov/",,true,"2","2024",31,0,0,"2023-01-17 02:00:10 -0500","ocd-division/country:us/state:mo/cd:4","1516 Longworth House Office Building","202-225-2876","MO","4",false,"2904",0,50,0,,,,
"A000372","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000372.json","Rick","Allen","1951-11-07","M","R","reprickallen","CongressmanRickAllen","412625","62545","136062","21516","N00033720","/m/0127y9dk","H2GA12121","https://allen.house.gov",,true,"10","2024",31,0,0,"2023-01-17 02:00:11 -0500","ocd-division/country:us/state:ga/cd:12","462 Cannon House Office Building","202-225-2823","GA","12",false,"1312",0,50,0,,,,
"A000376","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000376.json","Colin","Allred","1983-04-15","M","D","RepColinAllred",,"412828",,"177357",,"N00040989","/m/03d066b","H8TX32098","https://allred.house.gov",,true,"6","2024",31,0,0,"2023-01-17 02:00:11 -0500","ocd-division/country:us/state:tx/cd:32","348 Cannon House Office Building","202-225-2231","TX","32",false,"4832",0,50,0,,,,
"A000369","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000369.json","Mark","Amodei","1958-06-12","M","R","MarkAmodeiNV2","MarkAmodeiNV2","412500","62817","12537","21196","N00031177","/m/03bzdkn","H2NV02395","https://amodei.house.gov",,true,"14","2024",31,0,0,"2023-01-17 02:00:10 -0500","ocd-division/country:us/state:nv/cd:2","104 Cannon House Office Building","202-225-6155","NV","2",false,"3202",0,50,0,,"markamodeinv2",,
"A000377","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000377.json","Kelly","Armstrong","1976-10-08","M","R","RepArmstrongND",,"412794",,"139338",,"N00042868","/g/11hcszksh3","H8ND00096","https://armstrong.house.gov",,true,"6","2024",31,0,0,"2023-01-17 02:00:10 -0500","ocd-division/country:us/state:nd/cd:1","2235 Rayburn House Office Building","202-225-2611","ND","At-Large",true,"3800",0,50,0,,,,
"A000375","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000375.json","Jodey","Arrington","1972-03-09","M","R","RepArrington","JodeyArrington","412726","1016482","155685","21700","N00038285","/m/0g9_f_1","H6TX19099","https://arrington.house.gov",,true,"8","2024",31,0,0,"2023-01-17 02:00:11 -0500","ocd-division/country:us/state:tx/cd:19","1107 Longworth House Office Building","202-225-4005","TX","19",false,"4819",0,50,0,,,,
"A000148","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000148.json","Jake","Auchincloss","1988-01-29","M","D","RepAuchincloss",,"456825",,,,"N00045506","/g/11f0xw2_p4","H0MA04192","https://auchincloss.house.gov",,true,"4","2024",31,0,0,"2023-01-17 02:00:10 -0500","ocd-division/country:us/state:ma/cd:4","1524 Longworth House Office Building","202-225-5931","MA","4",false,"2504",0,50,0,,,,
