symbol,name,industry,supersector,sector,subsector,listingDate,issueShare,listedValue,marketCap
"CMW","Ca Mau Water Supply Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","10/04/2017 00:00:00","15534900.0","0","141367590000.0"
"CMX","CAMIMEX Group Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","09/11/2010 00:00:00","101898990.0","976192324200.00","976192324200.0"
"CNA","Nghe An Tea Corporation Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","09/12/2021 00:00:00","793917.0","0","149942864500.0"
"CNC","Traphaco High Tech Joint Stock Company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","25/06/2014 00:00:00","11364325.0","352294075000.00","356248860100.0"
"CNG","Clean Natural Gas Vietnam Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Gas Distribution","23/11/2011 00:00:00","27000000.0","722250000000.00","722241252750.0"
"CNN","Consultant and Inspection Joint Stock Company of Construction Technology and Equipment","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","01/06/2016 00:00:00","8800000.0","286000000000.00","295900000000.0"
"CNT","CNT Group Corporation","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","28/07/2008 00:00:00","40015069.0","520195897000.00","518895897000.0"
"COM","Materials - Petroleum Joint Stock Company","Consumer Services","Retail","General Retailers","Specialty Retailers","07/08/2006 00:00:00","14120628.0","0","494221980000.0"
"CPA","Phuoc An Coffee Joint Stock Company","Consumer Goods","Food & Beverage","Beverages","Soft Drinks","30/12/2019 00:00:00","23627990.0","0","264633488000.0"
"CPC","Cantho Pesticides Joint Stock Company","Basic Materials","Chemicals","Chemicals","Specialty Chemicals","18/01/2010 00:00:00","4303050.0","0","62038040000.0"
"CPH","Haiphong Funeral Services Joint Stock Company","Consumer Services","Retail","General Retailers","Specialized Consumer Services","08/02/2017 00:00:00","4400000.0","0","1320000000.0"
"CPI","Cai Lan Port Investment Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Transportation","Transportation Services","28/07/2017 00:00:00","36505000.0","94913000000.00","93671830000.0"
"CQN","Quang Ninh Port Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","18/08/2020 00:00:00","75049936.0","0","1388423816000.0"
"CQT","VVMI Quan Trieu Cement Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","01/11/2016 00:00:00","25000000.0","0","300000000000.0"
"CRC","Create Capital Viet Nam Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","20/08/2018 00:00:00","30000000.0","155700000000.00","155700000000.0"
"CRE","Century Land Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","05/09/2018 00:00:00","463678534.0","3287480806060.00","3287480040340.0"
"CSC","COTANA GROUP Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","04/11/2009 00:00:00","25553740.0","876493282000.00","876493282000.0"
"CSI","Vietnam Construction Securities Joint Stock Company","Financials","Financial Services","Financial Services","Investment Services","15/03/2019 00:00:00","16800000.0","1021440000000.00","1020012000000.0"
"CSM","The Southern Rubber Industry Joint Stock Company","Consumer Goods","Automobiles & Parts","Automobiles & Parts","Tires","11/08/2009 00:00:00","103626467.0","0","1455934931100.0"
"CST","Cao Son Coal Joint Stock Company","Basic Materials","Basic Resources","Mining","Coal","26/04/2021 00:00:00","42846773.0","916920942200.00","916835248654.0"
"CSV","South Basic Chemicals Joint Stock Company","Basic Materials","Chemicals","Chemicals","Specialty Chemicals","18/03/2015 00:00:00","44200000.0","1308320000000.00","1308320000000.0"
"CT3","Project 3 Construction And Investment Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","20/11/2009 00:00:00","8799756.0","0","35199024000.0"
"CT6","Construction Joint Stock Company No.6","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","04/05/2010 00:00:00","6108078.0","31151197800.00","31194322731.0"
"CTA","Vinavico Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","01/10/2010 00:00:00","8454381.0","12681571500.00","12538688634.0"
"CTB","Hai Duong Pump Manufacturing Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Engineering","Industrial Machinery","10/10/2006 00:00:00","13680000.0","296856000000.00","296856000000.0"
"CTC","Hoang Kim Tay Nguyen Group Joint Stock Company","Consumer Services","Travel & Leisure","Travel & Leisure","Travel & Tourism","18/07/2008 00:00:00","15799926.0","31599852000.00","31599852000.0"
"CTD","Coteccons Construction Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","20/01/2010 00:00:00","78830800.0","2763019540000.00","2588774528650.0"
"CTF","City Auto Corporation","Consumer Goods","Automobiles & Parts","Automobiles & Parts","Automobiles","30/05/2017 00:00:00","76017542.0","2691020986800.00","2691020986800.0"
"CTG","Vietnam Joint Stock Commercial Bank For Industry and Trade","Banks","Banks","Banks","Banks","16/07/2009 00:00:00","4805750609.0","142490505556850.00","142490505556850.0"
"CTI","Cuong Thuan IDICO Development Investment Corporation","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","19/03/2010 00:00:00","62999997.0","796949962050.00","693219962050.0"
"CTN","Underground Works Construction Joint Stock Company - VINAVICO","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","20/12/2006 00:00:00","6958345.0","8350014000.00","5489442315.0"
"CTP","Minh Khang Capital Trading Public Joint Stock Company","Consumer Goods","Food & Beverage","Beverages","Soft Drinks","28/07/2016 00:00:00","12099992.0","42349972000.00","42349972000.0"
"CTR","Viettel Construction Joint Stock Corporation","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","31/10/2017 00:00:00","114385879.0","6611503806200.00","6611503806200.0"
"CTS","Vietnam Bank For Industry And Trade Securities Joint Stock Company","Financials","Financial Services","Financial Services","Investment Services","31/07/2009 00:00:00","148738311.0","1978219536300.00","1977727941700.0"
"CTT","Vinacomin-Machinery Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Engineering","Industrial Machinery","17/07/2015 00:00:00","4697351.0","0","72339205400.0"
"CTW","Can Tho Water Supply - Sewerage Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","30/09/2016 00:00:00","28000000.0","0","853957300000.0"
"CTX","Vietnam Investment Construction And Trading Joint Stock Corporation","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","24/05/2012 00:00:00","78907276.0","0","599695297600.0"
"CVN","Vinam Joint Stock Company","Health Care","Health Care","Health Care Equipment & Services","Medical Equipment","06/08/2010 00:00:00","29699991.0","92069972100.00","92069972100.0"
"CVP","Cua Viet Port Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Transportation","Transportation Services","04/05/2022 00:00:00","3425980.0","0","34259800000.0"
"CVT","CMC Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","05/11/2009 00:00:00","36690887.0","1355728274650.00","1355728274650.0"
"CX8","Constrexim No. 8 Investment and Construction Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","19/05/2010 00:00:00","2110586.0","0","14133926400.0"
"CYC","Chang Yih Ceramic Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","31/07/2006 00:00:00","1990530.0","0","22616062500.0"
"D11","Real Estate 11 Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","25/02/2011 00:00:00","6551965.0","78623580000.00","88057656000.0"
"D2D","Industrial Urban Development Joint - Stock Company No.2","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","14/08/2009 00:00:00","30304758.0","683372292900.00","682357182100.0"
"DAC","382 Dong Anh Joint -Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","20/09/2006 00:00:00","1004974.0","0","4522383000.0"
"DAD","Danang Education Development And Investment Joint Stock Company","Consumer Services","Media","Media","Publishing","19/08/2009 00:00:00","5000000.0","94000000000.00","87592960000.0"
"DAE","Educational Book Joint Stock Company in Da Nang City","Consumer Services","Media","Media","Publishing","28/12/2006 00:00:00","1498680.0","0","32221620000.0"
"DAG","Dong A Plastic Group Joint Stock Company","Basic Materials","Chemicals","Chemicals","Commodity Chemicals","08/04/2010 00:00:00","59564112.0","238256448000.00","238248512000.0"
"DAH","Dong A Hotel Group Joint Stock Company","Consumer Services","Travel & Leisure","Travel & Leisure","Hotels","10/10/2016 00:00:00","84200000.0","377216000000.00","377216000000.0"
"DAN","Danapha Pharmaceutical joint stock company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","22/12/2021 00:00:00","21127000.0","0","688860200000.0"
"DAS","Danang Petroleum Machinery - Technology Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Engineering","Commercial Vehicles & Trucks","25/09/2014 00:00:00","4200000.0","0","22260000000.0"
"DAT","Travel Investment and Seafood Development Corporation","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","05/11/2015 00:00:00","62935104.0","701726409600.00","701726409600.0"
"DBC","DABACO Group","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","18/03/2008 00:00:00","242001859.0","3460626583700.00","3460626583700.0"
"DBD","Binh Dinh Pharmaceutical and Medical Equipment Joint Stock Company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","16/01/2017 00:00:00","74883559.0","3182551257500.00","3180847645000.0"
"DBM","Dak Lak Pharmaceutical Medical Equipment Joint Stock Company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","17/12/2009 00:00:00","1941588.0","0","66402172800.0"
"DBT","Ben Tre Pharmaceutical Joint Stock Company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","30/10/2009 00:00:00","14205116.0","154125508600.00","169536425450.0"
"DC1","Development Investment Construction Number 1 Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","19/07/2016 00:00:00","4094905.0","24569430000.00","23426951505.0"
"DC2","Development Investment Construction Number 2 Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","02/07/2010 00:00:00","7196673.0","35263697700.00","35263697700.0"
"DC4","DIC Holdings Construction Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","03/11/2008 00:00:00","52499723.0","357523113630.00","357523113630.0"
"DCF","Design and Construction Joint Stock Company No.1","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","12/01/2017 00:00:00","15000000.0","0","795000000000.0"
"DCG","DapCau Garment Corporation Joint Stock Company","Consumer Goods","Personal & Household Goods","Personal Goods","Clothing & Accessories","14/12/2018 00:00:00","6825000.0","0","210209876800.0"
"DCH","Ha Noi Cadastral Survey Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Services","23/04/2018 00:00:00","2880000.0","0","16992000000.0"
"DCL","Cuu Long Pharmaceutical Joint Stock Corporation","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","17/09/2008 00:00:00","73041030.0","2004976273500.00","2004976273500.0"
"DCM","PetroVietnam Camau Fertilizer Joint Stock Company","Basic Materials","Chemicals","Chemicals","Specialty Chemicals","31/03/2015 00:00:00","529400000.0","13420290000000.00","13420290000000.0"
"DCR","COSEVCO Ceramic Tiles Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","08/10/2018 00:00:00","6500000.0","29250000000.00","33475000000.0"
"DCS","Dai Chau Group Joint Stock Company","Consumer Goods","Personal & Household Goods","Household Goods & Home Construction","Furnishings","17/12/2007 00:00:00","60310988.0","42217691600.00","42276982633.0"
"DCT","Dong Nai Roofsheet & Construction Material Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","07/04/2016 00:00:00","27223647.0","24501282300.00","24501282300.0"
"DDG","Indochine Import Export Investment Industrial Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Gas Distribution","18/12/2018 00:00:00","59839886.0","2543195155000.00","2543195155000.0"
"DDH","Hai Phong Waterway Traffic Assurance Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Transportation","Transportation Services","30/06/2016 00:00:00","3600000.0","0","58680000000.0"
"DDM","Dong Do Marine Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Transportation","Marine Transportation","08/07/2008 00:00:00","12244495.0","26937889000.00","26937882400.0"
"DDN","Danang Pharmaceutical Medical Equipment Joint Stock Company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","24/06/2009 00:00:00","15349328.0","165772742400.00","170408239456.0"
"DDV","DAP - Vinachem Joint Stock Company","Basic Materials","Chemicals","Chemicals","Specialty Chemicals","10/06/2015 00:00:00","146109900.0","1271156130000.00","1278023295300.0"
"DFC","Dong Anh C&F Joint Stock Company","Basic Materials","Basic Resources","Industrial Metals & Mining","Steel","12/01/2017 00:00:00","6000000.0","0","103800000000.0"
"DFF","Dua Fat Group Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","08/07/2021 00:00:00","80000000.0","1152000000000.00","1164560000000.0"
"DGC","Ducgiang Chemicals Group Joint Stock Company","Basic Materials","Chemicals","Chemicals","Specialty Chemicals","26/08/2014 00:00:00","379779286.0","20128302158000.00","20128255889000.0"
"DGT","DONA Transportation Construction Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","09/03/2010 00:00:00","79000000.0","655700000000.00","621493000000.0"
"DGW","Digiworld Corporation","Consumer Services","Retail","General Retailers","Specialty Retailers","03/08/2015 00:00:00","163229943.0","6512874725700.00","6666311412600.0"
"DHA","Hoa An Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","14/04/2004 00:00:00","15119946.0","575313945300.00","560327077650.0"
"DHB","HaBac Nitrogenous Ferlitizer & Chemicals Joint Stock Company","Basic Materials","Chemicals","Chemicals","Specialty Chemicals","26/07/2017 00:00:00","272200000.0","2422580000000.00","2483280600000.0"
"DHC","Dong Hai Joint Stock Company of Bentre","Basic Materials","Basic Resources","Forestry & Paper","Paper","23/07/2009 00:00:00","80493048.0","2962144166400.00","2962144166400.0"
"DHD","Hai Duong Pharmaceutical Medical Material Joint Stock Company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","05/05/2017 00:00:00","14999785.0","0","359994840000.0"
"DHG","Hau Giang Pharmaceutical Joint Stock Company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","21/12/2006 00:00:00","130746071.0","12839264172200.00","12839264172200.0"
"DHM","Duong Hieu Trading and Mining Joint Stock Company","Basic Materials","Basic Resources","Mining","General Mining","24/07/2012 00:00:00","31396180.0","361056070000.00","361056070000.0"
"DHN","Ha Noi Pharmar Joint Stock Company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","19/04/2018 00:00:00","6290900.0","0","139028890000.0"
"DHP","Hai Phong Electrical Mechanical Joint Stock Company","Industrials","Industrial Goods & Services","Electronic & Electrical Equipment","Electronic Equipment","21/03/2013 00:00:00","9492200.0","0","103464980000.0"
"DHT","Hatay Pharmaceutical Joint Stock Company","Consumer Services","Retail","Food & Drug Retailers","Drug Retailers","03/12/2008 00:00:00","26408828.0","1088043713600.00","1087981378000.0"
"DIC","DIC Investment and Trading Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","28/12/2006 00:00:00","26585840.0","37220176000.00","35370663360.0"
"DID","DIC - Dong Tien Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","10/12/2009 00:00:00","15622552.0","54678932000.00","54460216272.0"
"DIG","Development Investment Construction Joint Stock Corporation","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","19/08/2009 00:00:00","609851995.0","8659898329000.00","8659898329000.0"
"DIH","Development Investment Construction Hoi An Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","27/04/2011 00:00:00","5979962.0","173418898000.00","171397598000.0"
"DKC","Lang Son Market Joint Stock Company","Consumer Services","Retail","General Retailers","Broadline Retailers","14/07/2020 00:00:00","2288540.0","0","2975102000.0"
"DL1","Alpha Seven Group Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Transportation","Transportation Services","10/03/2010 00:00:00","106236094.0","393073547800.00","393073547800.0"
"DLD","DakLak Tourist Joint Stock Company","Consumer Services","Travel & Leisure","Travel & Leisure","Hotels","08/04/2011 00:00:00","9307415.0","0","83766735000.0"
"DLG","Duc Long Gia Lai Group Joint Stock Company","Basic Materials","Basic Resources","Forestry & Paper","Forestry","22/06/2010 00:00:00","299309720.0","643515898000.00","643515898000.0"
"DLM","Da Nang Public Lighting Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Multiutilities","06/01/2023 00:00:00","1160250.0","0","18729750000.0"
"DLR","Dalat Real Estate Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","20/05/2010 00:00:00","4500000.0","0","38250000000.0"
"DLT","Vinacomin - Tourism & Trading Joint Stock Company","Consumer Services","Travel & Leisure","Travel & Leisure","Travel & Tourism","16/11/2015 00:00:00","2500056.0","0","37500840000.0"
"DM7","Det May 7 Joint Stock Company","Consumer Goods","Personal & Household Goods","Personal Goods","Clothing & Accessories","15/10/2018 00:00:00","15411100.0","292810900000.00","292810900000.0"
"DMC","Domesco Medical Import - Export Joint Stock Corporation","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","25/12/2006 00:00:00","34727465.0","1576626911000.00","1576626911000.0"
"DMN","Domenal Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","22/11/2021 00:00:00","12500000.0","63750000000.00","63750000000.0"
"DNA","An Giang Power and Water Supply Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","19/10/2017 00:00:00","56329567.0","0","1098426556500.0"
"DNC","Haiphong Electricity Water Machine Assembly Joint Stock Company","Utilities","Utilities","Electricity","Conventional Electricity","23/12/2009 00:00:00","6422258.0","274872642400.00","274872642400.0"
"DND","Dong Nai Material and Building Investment Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","09/11/2016 00:00:00","8834000.0","0","159012000000.0"
"DNE","Danang Urban Environment Joint Stock Company","Industrials","Industrial Goods & Services","Support Services","Waste & Disposal Services","05/04/2017 00:00:00","5773600.0","55426560000.00","55426560000.0"
"DNH","Da Nhim - Ham Thuan - Da Mi Hydro Power Joint Stock Company","Utilities","Utilities","Electricity","Conventional Electricity","19/06/2017 00:00:00","422400000.0","0","17740800000000.0"
"DNL","Da Nang Port Logistics Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Transportation","Transportation Services","18/08/2011 00:00:00","4310000.0","0","68960000000.0"
"DNM","Danameco Medical Joint Stock Corporation","Health Care","Health Care","Health Care Equipment & Services","Medical Supplies","16/02/2011 00:00:00","5253070.0","0","92979339000.0"
"DNN","Da Nang Water Supply Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","17/07/2017 00:00:00","57964061.0","0","11592812200.0"
"DNP","DNP Holding Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","28/11/2006 00:00:00","118909913.0","2794382955500.00","2794175920500.0"
"DNT","Dong Nai Tourist Joint Stock Company","Consumer Services","Travel & Leisure","Travel & Leisure","Recreational Services","24/02/2020 00:00:00","7459675.0","0","573736890000.0"
"DNW","Dong Nai Water Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","16/03/2016 00:00:00","120000000.0","3120000000000.00","2772000000000.0"
"DOC","Dong Nai Joint Stock Company of Agricultural Material","Basic Materials","Chemicals","Chemicals","Specialty Chemicals","19/12/2016 00:00:00","10000000.0","0","100000000000.0"
"DOP","DongThap Petroleum Transportation Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Transportation","Trucking","30/10/2015 00:00:00","4719950.0","42479550000.00","42479550000.0"
"DP1","Central Pharmaceutical CPC1. JSC ","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","12/06/2018 00:00:00","20979000.0","513985500000.00","483209307000.0"
"DP2","Central Phamarceutical Joint Stock Company No 2","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","19/05/2017 00:00:00","20000000.0","0","100000000000.0"
"DP3","Central Phamarceutical Joint Stock Company No 3","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","17/07/2015 00:00:00","8600000.0","825600000000.00","825600000000.0"
"DPC","Da Nang Plastic Joint Stock Company","Industrials","Industrial Goods & Services","General Industrials","Containers & Packaging","26/11/2001 00:00:00","2237280.0","35125296000.00","35125296000.0"
"DPD","Dong Phu - Dak Nong Rubber Joint Stock Company","Basic Materials","Chemicals","Chemicals","Commodity Chemicals","20/01/2021 00:00:00","12000000.0","0","282000000000.0"
"DPG","Dat Phuong Group Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","12/01/2017 00:00:00","62999554.0","1880536686900.00","1880536686900.0"
"DPH","Hai Phong Pharmaceutical Joint Stock Company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","20/01/2017 00:00:00","3000000.0","0","111600000000.0"
"DPM","Petrovietnam Fertilizer and Chemicals Corporation","Basic Materials","Chemicals","Chemicals","Specialty Chemicals","05/11/2007 00:00:00","391400000.0","14892770000000.00","14890268593000.0"
"DPP","Dong Nai Pharmaceutical Joint Stock Company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","19/05/2010 00:00:00","3000010.0","0","48000160000.0"
"DPR","Dong Phu Rubber Joint Stock Company","Basic Materials","Chemicals","Chemicals","Commodity Chemicals","30/11/2007 00:00:00","43000000.0","2360700000000.00","2360700000000.0"
"DPS","Soc Son Development Investment Joint Stock Company","Basic Materials","Basic Resources","Industrial Metals & Mining","Steel","06/05/2015 00:00:00","31085257.0","15542628500.00","16102163126.0"
"DQC","Dien Quang Joint Stock Company","Consumer Goods","Personal & Household Goods","Household Goods & Home Construction","Furnishings","21/02/2008 00:00:00","34359416.0","711239911200.00","570451966200.0"
"DRC","Da Nang Rubber Joint Stock Company","Consumer Goods","Automobiles & Parts","Automobiles & Parts","Tires","29/12/2006 00:00:00","118792605.0","2732229915000.00","2732229915000.0"
"DRG","Dak Lak Rubber Joint Stock Company","Basic Materials","Chemicals","Chemicals","Commodity Chemicals","11/12/2019 00:00:00","1658400.0","12769680000.00","1204489800000.0"
"DRH","DRH Holdings JSC","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","26/07/2010 00:00:00","124353866.0","641665948560.00","638332588560.0"
"DRI","DakLak Rubber Investment Joint Stock Company","Basic Materials","Chemicals","Chemicals","Commodity Chemicals","23/05/2017 00:00:00","73200000.0","570960000000.00","572716800000.0"
"DRL","Hydro Power Joint Stock Company - Power No.3","Utilities","Utilities","Electricity","Conventional Electricity","11/04/2012 00:00:00","9500000.0","0","646000000000.0"
"DS3","Inland Waterway Management Joint Stock Company No3","Industrials","Industrial Goods & Services","Industrial Transportation","Transportation Services","21/08/2017 00:00:00","10669730.0","53348650000.00","53348650000.0"
"DSC","DSC Joint Stock Company","Financials","Financial Services","Financial Services","Investment Services","05/01/2018 00:00:00","100000000.0","2240000000000.00","2296900000000.0"
"DSD","DHC Suoi Doi Corporation","Consumer Services","Travel & Leisure","Travel & Leisure","Recreational Services","17/05/2022 00:00:00","31100000.0","677980000000.00","634440000000.0"
"DSG","Dap Cau Sheet Glass Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","11/08/2017 00:00:00","30000000.0","0","159000000000.0"
"DSN","Dam Sen Water Park Corporation","Consumer Services","Travel & Leisure","Travel & Leisure","Recreational Services","26/10/2010 00:00:00","12083009.0","679065105800.00","679065105800.0"
"DSP","Phu Tho Tourist Service Joint Stock Company","Consumer Services","Travel & Leisure","Travel & Leisure","Travel & Tourism","17/10/2018 00:00:00","118684000.0","1531023600000.00","1531023600000.0"
"DST","Sao Thang Long Investment Joint Stock Company","Consumer Services","Media","Media","Publishing","16/10/2007 00:00:00","32300000.0","138890000000.00","138541700000.0"
"DSV","Vinh Phu Railway Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Transportation","Railroads","02/12/2016 00:00:00","1229579.0","0","7254516100.0"
"DTA","De Tam Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","16/07/2010 00:00:00","18059832.0","88673775120.00","88673775120.0"
"DTB","Bao Loc Urban Project Joint Stock Company","Industrials","Industrial Goods & Services","Support Services","Waste & Disposal Services","22/07/2019 00:00:00","1558248.0","14491706400.00","14491706400.0"
"DTC","Dong Trieu Viglacera Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","25/12/2006 00:00:00","10000000.0","52000000000.00","52000000000.0"
"DTD","Thanh Dat Investment Development Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","16/11/2017 00:00:00","42415289.0","547157228100.00","553523378100.0"
"DTE","Dai Truong Thanh Holdings Energy Investment Joint Stock Company","Utilities","Utilities","Electricity","Conventional Electricity","31/12/2020 00:00:00","50725887.0","0","547839579600.0"
"DTG","Tipharco Pharmaceutical Joint Stock Company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","28/02/2017 00:00:00","6315928.0","157898200000.00","157898200000.0"
"DTH","Thanh Hoa Medical Materials Pharmaceutial Joint Stock Company","Health Care","Health Care","Health Care Equipment & Services","Medical Equipment","18/04/2022 00:00:00","7471614.0","0","101554205600.0"
"DTI","Duc Trung Investment Join Stock Company","Consumer Services","Travel & Leisure","Travel & Leisure","Hotels","05/01/2018 00:00:00","12097754.0","108879786000.00","108879786000.0"
"DTK","Vinacomin - Power Holding Corporation","Utilities","Utilities","Electricity","Conventional Electricity","15/12/2016 00:00:00","682767475.0","6349737517500.00","6349737517500.0"
"DTL","Dai Thien Loc Corporation","Basic Materials","Basic Resources","Industrial Metals & Mining","Steel","04/06/2010 00:00:00","61435604.0","1664904868400.00","1643099666400.0"
"DTP","Ha Noi CPC1 Pharmaceutical Joint Stock Company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","18/06/2020 00:00:00","16229042.0","1621281295800.00","1621281295800.0"
"DTT","Do Thanh Technology Corporation","Basic Materials","Chemicals","Chemicals","Commodity Chemicals","22/12/2006 00:00:00","8151820.0","105158478000.00","105158478000.0"
"DTV","Tra Vinh Electric Development Joint Stock Corporation","Utilities","Utilities","Electricity","Conventional Electricity","09/09/2010 00:00:00","5280000.0","217008000000.00","216350400000.0"
"DUS","Da Lat Urban Server Joint Stock Company","Industrials","Industrial Goods & Services","Support Services","Waste & Disposal Services","08/01/2020 00:00:00","5614300.0","0","113704360000.0"
"DVC","Hai Phong Port Trading and Service Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Transportation","Transportation Services","09/04/2013 00:00:00","10793670.0","0","126285939000.0"
"DVG","Dai Viet Paint Group Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","14/01/2021 00:00:00","28000000.0","81200000000.00","81200000000.0"
"DVM","Vietnam Medicinal Materials Joint Stock Company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","19/07/2022 00:00:00","35650000.0","474145000000.00","474145000000.0"
"DVN","Vietnam Pharmaceutical Corporation (VINAPHARM)","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","19/05/2017 00:00:00","237000000.0","4029000000000.00","4008381000000.0"
