"id","title","short_title","api_uri","first_name","last_name","date_of_birth","gender","party","twitter_account","youtube_account","govtrack_id","icpsr_id","google_entity_id","fec_candidate_id","url","in_office","seniority","total_votes","missed_votes","total_present","last_updated","ocd_id","state","district","at_large","geoid","missed_votes_pct","votes_with_party_pct","votes_against_party_pct","middle_name","cspan_id","facebook_account","votesmart_id","crp_id","rss_url","suffix","leadership_role"
"A000014","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000014.json","Neil","Abercrombie","1938-06-26","M","D","neilabercrombie","hawaiirep1","400001","15244","/m/0255rj","","",false,"20",1873,117,4,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:hi/cd:1","HI","1",false,"1501",6.25,96.37,4.04,,,,,,,,
"A000022","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000022.json","Gary","Ackerman","1942-11-19","M","D","repgaryackerman","RepAckerman","400003","15080","/m/03rhdq","","",false,"26",1873,95,0,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:ny/cd:5","NY","5",false,"3605",5.07,99.49,1.03,"L.","1002061",,,,,,
"A000055","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000055.json","Robert","Aderholt","1965-07-22","M","R","Robert_Aderholt","RobertAderholt","400004","29701","/m/024p03","","https://aderholt.house.gov",false,"12",1873,51,4,"2021-03-02 02:35:23 -0500","ocd-division/country:us/state:al/cd:4","AL","4",false,"0104",2.72,94.25,6.26,"B.","45516","RobertAderholt","441","N00003028","https://aderholt.house.gov/rss.xml",,
"A000358","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000358.json","Todd","Akin","1947-07-05","M","R","reptoddakin","RepToddAkin","400005","20123","/m/025xzm","","",false,"8",1873,36,5,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:mo/cd:2","MO","2",false,"2902",1.92,93.73,6.83,,"87412",,,,,,
"A000361","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000361.json","Rodney","Alexander","1946-12-05","M","R","USRepAlexander","RepRodneyMAlexander","400006","90327","/m/025jxc","","",false,"6",1873,103,2,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:la/cd:5","LA","5",false,"2205",5.5,93.95,6.63,,"1004256","RepRodneyAlexander",,,,,
"A000357","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000357.json","Thomas","Allen","1945-04-16","M","D",,,"400007","29728",,"","",false,"12",1873,54,0,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:me/cd:1","ME","1",false,"2301",2.88,98.99,1.56,"H.",,,,,,,
"A000362","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000362.json","Jason","Altmire","1968-03-07","M","D","RepJasonAltmire","congressmanaltmire","412231","20743","/m/0dzy2v","","",false,"2",1873,0,0,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:pa/cd:4","PA","4",false,"4204",0,88.34,12.2,,"1022872",,,,,,
"A000210","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000210.json","Robert","Andrews","1957-08-04","M","D","RepAndrews",,"400008","29132",,"","http://andrews.house.gov/",false,"20",1873,225,0,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:nj/cd:1","NJ","1",false,"3401",12.01,99.01,1.6,"E.","19670",,,,,,
"A000363","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000363.json","Michael","Arcuri","1959-06-11","M","D",,"RepArcuri","412224","20736",,"","",false,"2",1873,16,0,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:ny/cd:24","NY","24",false,"3624",0.85,98.25,2.3,,"1021495",,,,,,
"B001234","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001234.json","Joe","Baca","1947-01-23","M","D",,,"400009","29942","/m/024xk0","","",false,"10",1873,58,0,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:ca/cd:43","CA","43",false,"0643",3.1,98.71,1.79,,"81682",,,,,,
"B001256","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001256.json","Michele","Bachmann","1956-04-06","F","R","MicheleBachmann","RepMicheleBachmann","412216","20728","/m/06jm4y","","http://bachmann.house.gov",false,"2",1873,33,3,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:mn/cd:6","MN","6",false,"2706",1.76,94.3,6.26,,"1021492","RepMicheleBachmann",,,,,
"B000013","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000013.json","Spencer","Bachus","1947-12-28","M","R","BachusAL06","congressmanbachus","400010","29301","/m/024p0v","","http://bachus.house.gov",false,"16",1873,137,3,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:al/cd:6","AL","6",false,"0106",7.31,94.85,5.69,,"26397","SpencerBachus",,,,,
"B001229","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001229.json","Brian","Baird","1956-03-07","M","D",,,"400011","29938","/m/02593n","","",false,"10",1873,103,1,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:wa/cd:3","WA","3",false,"5303",5.5,95.6,4.74,,"45981",,,,,,
"B000072","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000072.json","Richard","Baker","1948-05-22","M","R",,,"400012","15400",,"","",false,"22",1214,59,0,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:la/cd:6","LA","6",false,"2206",4.86,93.11,7.6,"Hugh",,,,,,,
"B001230","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001230.json","Tammy","Baldwin","1962-02-11","F","D","SenatorBaldwin","witammybaldwin","400013","29940","/m/024v02","","https://www.baldwin.senate.gov",false,"10",1873,18,1,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:wi/cd:2","WI","2",false,"5502",0.96,98.08,2.46,,"57884","senatortammybaldwin","3470","N00004367",,,
"B001239","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001239.json","J.","Barrett","1961-02-14","M","R","greshambarrett","Repgreshambarrett","400016","20347",,"","",false,"6",1873,39,10,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:sc/cd:3","SC","3",false,"4503",2.08,92.09,8.47,"Gresham","1003613",,,,,,
"B001252","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001252.json","John","Barrow","1955-10-31","M","D","RepJohnBarrow","RepJohnBarrow","400628","20507","/m/056gyc","","http://barrow.house.gov",false,"4",1873,26,2,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:ga/cd:12","GA","12",false,"1312",1.39,84.62,15.88,,"1012025","CongressmanJohnBarrow",,,,,
"B000208","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000208.json","Roscoe","Bartlett","1926-06-03","M","R",,"RepRoscoeBartlett","400017","29356","/m/025k82","","",false,"16",1873,19,8,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:md/cd:6","MD","6",false,"2406",1.01,92.5,8.06,"G.","27026",,,,,,
"B000213","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000213.json","Joe","Barton","1949-09-15","M","R","RepJoeBarton","repjoebarton","400018","15085","/m/03rspq","","https://joebarton.house.gov",false,"24",1873,60,2,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:tx/cd:6","TX","6",false,"4806",3.2,93.41,7.16,"L.","5248","RepJoeBarton","27082","N00005656",,,
"B001253","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001253.json","Melissa","Bean","1962-01-22","F","D",,,"400631","20509","/m/03xjjx","","",false,"4",1873,82,1,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:il/cd:8","IL","8",false,"1708",4.38,90.94,9.51,,,,,,,,
"B000287","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000287.json","Xavier","Becerra","1958-01-26","M","D","RepBecerra","XavierBecerra","400021","29316","/m/024trk","","http://becerra.house.gov",false,"16",1873,71,2,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:ca/cd:31","CA","31",false,"0631",3.79,99.21,1.35,,"26567","XavierBecerra",,,"https://becerra.house.gov/rss/press-releases.xml",,
"B001231","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001231.json","Shelley","Berkley","1951-01-20","F","D","repberkley","ShelleyBerkley","400024","29922","/m/025h7j","","",false,"10",1873,73,0,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:nv/cd:1","NV","1",false,"3201",3.9,97.46,3.05,,,,,,,,
"B000410","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000410.json","Howard","Berman","1941-04-15","M","D","RepHowardBerman","RepHowardBerman","400025","15004",,"","",false,"26",1873,92,0,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:ca/cd:28","CA","28",false,"0628",4.91,98.69,1.77,"L.","1592",,,,,,
"B000420","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000420.json","Marion","Berry","1942-08-27","M","D",,"CongressmanBerry","400026","29702",,"","",false,"12",1873,56,0,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:ar/cd:1","AR","1",false,"0501",2.99,96.36,4.19,,"45115",,,,,,
"B001232","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001232.json","Judy","Biggert","1937-08-15","F","R","JudyBiggert","JudyBiggert","400027","29912","/m/0256wq","","",false,"10",1873,13,1,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:il/cd:13","IL","13",false,"1713",0.69,89.93,10.62,,"57890",,,,,,
"B000461","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000461.json","Brian","Bilbray","1951-01-28","M","R","BilbrayCA50",,"400570","29508",,"","",false,"4",1873,59,1,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:ca/cd:50","CA","50",false,"0650",3.15,93.53,7.04,"P.","36554",,,,,,
"B001257","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001257.json","Gus","Bilirakis","1963-02-08","M","R","RepGusBilirakis","RepGusBilirakis","412250","20758","/m/0dy3z1","","https://bilirakis.house.gov",false,"4",1873,18,0,"2021-03-02 02:35:25 -0500","ocd-division/country:us/state:fl/cd:9","FL","9",false,"1209",0.96,94.07,6.49,,"1022873","GusBilirakis","17318","N00027462","https://bilirakis.house.gov/rss.xml",,
"B001242","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001242.json","Timothy","Bishop","1950-06-01","M","D","TimBishopNY","timbishop01","400031","20338",,"","http://timbishop.house.gov",false,"6",1873,35,0,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:ny/cd:1","NY","1",false,"3601",1.87,99.56,0.99,"H.","1003587","RepTimBishop",,,,,
"B001250","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001250.json","Rob","Bishop","1951-07-13","M","R","RepRobBishop","CongressmanBishop","400029","20357","/m/02tn41","","https://robbishop.house.gov",false,"6",1873,185,3,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:ut/cd:1","UT","1",false,"4901",9.88,94.4,6.08,,"1003621","RepRobBishop","50544","N00025292","https://robbishop.house.gov/rss.xml",,
"B000490","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000490.json","Sanford","Bishop","1947-02-04","M","D","SanfordBishop","RepSanfordBishop","400030","29339","/m/02554k","","https://bishop.house.gov",false,"16",1873,80,0,"2021-03-02 02:35:25 -0500","ocd-division/country:us/state:ga/cd:2","GA","2",false,"1302",4.27,98.13,2.44,"D.","26194","sanfordbishop","26817","N00002674","https://bishop.house.gov/rss.xml","Jr.",
"B001243","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001243.json","Marsha","Blackburn","1952-06-06","F","R","MarshaBlackburn","RepMarshaBlackburn","400032","20351","/m/01fnkt","","https://www.blackburn.senate.gov",false,"6",1873,61,3,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:tn/cd:7","TN","7",false,"4707",3.26,93.53,6.98,,"31226","marshablackburn","25186","N00003105",,,
"B000574","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000574.json","Earl","Blumenauer","1948-08-16","M","D","BlumenauerMedia","RepBlumenauer","400033","29588","/m/033tw8","","https://blumenauer.house.gov",false,"14",1873,53,1,"2021-03-02 02:35:25 -0500","ocd-division/country:us/state:or/cd:3","OR","3",false,"4103",2.83,96.54,3.96,,"43809",,"367","N00007727","https://blumenauer.house.gov/rss.xml",,
"B000575","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000575.json","Roy","Blunt","1950-01-10","M","R","RoyBlunt","SenatorBlunt","400034","29735","/m/034fn4","","https://www.blunt.senate.gov",false,"12",1873,94,2,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:mo/cd:7","MO","7",false,"2907",5.02,95.8,4.55,,"45465","SenatorBlunt","418","N00005195",,,
"B000589","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000589.json","John","Boehner","1949-11-17","M","R","SpeakerBoehner","johnboehner","400036","15806","/m/039rwf","","http://boehner.house.gov",false,"18",1873,102,2,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:oh/cd:8","OH","8",false,"3908",5.45,95.36,5.17,"A.","16740","SpeakerJohnBoehner",,,,,
"B001244","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001244.json","Jo","Bonner","1959-11-19","M","R","repjobonner","JoBonner","400038","20300",,"","http://bonner.house.gov/",false,"6",1873,111,13,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:al/cd:1","AL","1",false,"0101",5.93,96.03,4.55,,"1003546","jobonner",,,,,
"B001228","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001228.json","Mary","Bono Mack","1961-10-24","F","R","Rep_BonoMack",,"400039","29775","/m/024xmf","","",false,"12",1873,100,1,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:ca/cd:45","CA","45",false,"0645",5.34,92.54,7.87,,,,,,,,
"B001236","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001236.json","John","Boozman","1950-12-10","M","R","JohnBoozman","BoozmanPressOffice","400040","20101","/m/024s3v","","https://www.boozman.senate.gov/public",false,"8",1873,20,1,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:ar/cd:3","AR","3",false,"0503",1.07,96.07,4.38,,"92069","JohnBoozman","27958","N00013873","https://www.boozman.senate.gov/public/?a=RSS.Feed",,
"B001245","Delegate","Del.","https://api.propublica.org/congress/v1/members/B001245.json","Madeleine","Bordallo","1933-05-31","F","D",,,"400041",,"/m/01s_xp","","https://bordallo.house.gov",false,"6",471,120,0,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:gu/cd:79","GU","At-Large",true,"6698",25.48,93.31,6.98,"Z.","1003568","madeleine.bordallo","1751","N00024866",,,
"B001254","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001254.json","Dan","Boren","1973-08-02","M","D",,,"400645","20523","/m/04bbc1","","",false,"4",1873,72,1,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:ok/cd:2","OK","2",false,"4002",3.84,90.47,10.09,,"1013053",,,,,,
"B000652","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000652.json","Leonard","Boswell","1934-01-10","M","D","LeonardBoswell","RepLeonardBoswell","400042","29721","/m/025b6f","","",false,"12",1873,94,0,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:ia/cd:3","IA","3",false,"1903",5.02,97.14,3.43,"L.","45520",,,,,,
"B000657","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000657.json","Rick","Boucher","1946-08-01","M","D",,,"400043","15009","/m/01_k5m","","",false,"26",1873,127,1,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:va/cd:9","VA","9",false,"5109",6.78,97.33,3.14,,"6736",,,,,,
"B001255","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001255.json","Charles","Boustany","1956-02-21","M","R","RepBoustany","boustanyla07","400636","20514","/m/04wdx3","","http://boustany.house.gov",false,"4",1873,34,2,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:la/cd:7","LA","7",false,"2207",1.82,93.4,7.1,,"1013047","RepBoustany",,,,"Jr.",
"B000716","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000716.json","Allen","Boyd","1945-06-06","M","D",,,"400044","29713",,"","",false,"12",1873,33,0,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:fl/cd:2","FL","2",false,"1202",1.76,94.93,5.57,,"46164",,,,,,
"B001258","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001258.json","Nancy","Boyda","1955-08-02","F","D",,,"412210","20721",,"","",false,"2",1873,34,4,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:ks/cd:2","KS","2",false,"2002",1.82,93.65,6.91,"E.",,,,,,,
"B001227","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001227.json","Robert","Brady","1945-04-07","M","D","RepBrady","BradyPA01","400047","29777","/m/03tq5z","","https://brady.house.gov",false,"12",1873,177,0,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:pa/cd:1","PA","1",false,"4201",9.45,99.46,1.14,"A.","55227","RepRobertBrady","2519","N00001619",,,
"B000755","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000755.json","Kevin","Brady","1955-04-11","M","R","RepKevinBrady","KBrady8","400046","29760","/m/03tq00","","https://kevinbrady.house.gov",false,"12",1873,121,3,"2021-03-02 02:35:26 -0500","ocd-division/country:us/state:tx/cd:8","TX","8",false,"4808",6.46,94.3,6.29,,"45749","kevinbrady","361","N00005883",,,
"B001259","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001259.json","Bruce","Braley","1957-10-30","M","D","BruceBraley","repbrucebraley","412208","20719","/m/07r9r0","","http://braley.house.gov",false,"2",1873,91,0,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:ia/cd:1","IA","1",false,"1901",4.86,97.89,2.62,,"1020421","repbrucebraley",,,,,
"B001262","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001262.json","Paul","Broun","1946-12-07","M","R","RepPaulBrounMD","RepPaulBroun","412252","20753","/m/02vzlfc","","http://broun.house.gov",false,"2",1148,29,3,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:ga/cd:10","GA","10",false,"1310",2.53,89.69,10.68,,"1025092","RepPaulBroun",,,,,
"B000911","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000911.json","Corrine","Brown","1946-11-11","F","D","RepCorrineBrown","CongresswomanBrown","400048","29328","/m/0251xd","","https://corrinebrown.house.gov",false,"16",1873,253,3,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:fl/cd:3","FL","3",false,"1203",13.51,98.31,2.26,,"26192","congresswomanbrown",,,"https://corrinebrown.house.gov/rss.xml",,
"B001235","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001235.json","Henry","Brown","1935-12-20","M","R",,"CongressmanBrown","400049","20137","/m/03tpvc","","",false,"8",1873,53,0,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:sc/cd:1","SC","1",false,"4501",2.83,94.63,5.94,"E.","1000221",,,,,"Jr.",
"B001247","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001247.json","Ginny","Brown-Waite","1943-10-05","F","R",,"RepGinnyBrownWaite","400051","20313","/m/0251yt","","",false,"6",1873,180,4,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:fl/cd:5","FL","5",false,"1205",9.61,90.95,9.54,,"1003557",,,,,,
"B001260","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001260.json","Vern","Buchanan","1951-05-08","M","R","VernBuchanan","vernbuchanan","412196","20709","/m/0gtjsp","","https://buchanan.house.gov",false,"2",1873,23,0,"2021-03-02 02:35:26 -0500","ocd-division/country:us/state:fl/cd:13","FL","13",false,"1213",1.23,91.72,8.84,,"1021626","CongressmanBuchanan","66247","N00027626","https://buchanan.house.gov/rss.xml",,
"B001248","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001248.json","Michael","Burgess","1950-12-23","M","R","MichaelCBurgess","michaelcburgessmd","400052","20355","/m/03tq8_","","https://burgess.house.gov",false,"6",1873,84,1,"2021-03-02 02:35:26 -0500","ocd-division/country:us/state:tx/cd:26","TX","26",false,"4826",4.48,92.98,7.59,"C.","1003620","michaelcburgess","50120","N00025219","https://burgess.house.gov/news/rss.aspx",,
"B001149","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001149.json","Dan","Burton","1938-06-21","M","R","RepDanBurton","CongressmanDanBurton","400055","15013","/m/022r4p","","",false,"26",1873,77,5,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:in/cd:5","IN","5",false,"1805",4.11,94.09,6.49,,,,,,,,
"B001251","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001251.json","G.","Butterfield","1947-04-27","M","D","GKButterfield","GKBNC01","400616","20340","/m/03g_pq","","https://butterfield.house.gov",false,"6",1873,104,0,"2021-03-02 02:35:27 -0500","ocd-division/country:us/state:nc/cd:1","NC","1",false,"3701",5.55,98.28,2.3,"K.","1013540","congressmangkbutterfield","41077","N00027035","https://butterfield.house.gov/rss.xml",,
"B001203","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001203.json","Steve","Buyer","1958-11-26","M","R",,"sbuyer","400056","29350","/m/02578l","","",false,"16",1873,246,3,"2019-10-07 11:08:52 -0400","ocd-division/country:us/state:in/cd:4","IN","4",false,"1804",13.13,93.47,7.1,,"26475",,,,,,
"C000059","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000059.json","Ken","Calvert","1953-06-08","M","R","KenCalvert","RepKenCalvert","400057","29323","/m/024xl1","","https://calvert.house.gov",false,"16",1873,84,1,"2021-03-02 02:35:27 -0500","ocd-division/country:us/state:ca/cd:44","CA","44",false,"0644",4.48,95.35,5.11,,"26709","70063393423","26777","N00007099","https://calvert.house.gov/rss.xml",,
