"id","title","short_title","api_uri","first_name","last_name","date_of_birth","gender","party","twitter_account","youtube_account","govtrack_id","icpsr_id","google_entity_id","fec_candidate_id","url","in_office","seniority","total_votes","missed_votes","total_present","last_updated","ocd_id","state","district","at_large","geoid","missed_votes_pct","votes_with_party_pct","votes_against_party_pct","middle_name","cspan_id","facebook_account","votesmart_id","crp_id","rss_url","suffix"
"A000014","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000014.json","Neil","Abercrombie","1938-06-26","M","D","neilabercrombie","hawaiirep1","400001","15244","/m/0255rj","","",false,"18",1214,40,4,"2019-10-07 11:07:08 -0400","ocd-division/country:us/state:hi/cd:1","HI","1",false,"1501",3.29,90.41,9.84,,,,,,,
"A000022","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000022.json","Gary","Ackerman","1942-11-19","M","D","repgaryackerman","RepAckerman","400003","15080","/m/03rhdq","","",false,"24",1214,48,1,"2019-10-07 11:07:08 -0400","ocd-division/country:us/state:ny/cd:5","NY","5",false,"3605",3.95,94.43,5.83,"L.","1002061",,,,,
"A000055","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000055.json","Robert","Aderholt","1965-07-22","M","R","Robert_Aderholt","RobertAderholt","400004","29701","/m/024p03","","https://aderholt.house.gov",false,"10",1214,2,0,"2021-03-02 02:35:23 -0500","ocd-division/country:us/state:al/cd:4","AL","4",false,"0104",0.16,96.06,4.19,"B.","45516","RobertAderholt","441","N00003028","https://aderholt.house.gov/rss.xml",
"A000358","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000358.json","Todd","Akin","1947-07-05","M","R","reptoddakin","RepToddAkin","400005","20123","/m/025xzm","","",false,"6",1214,15,2,"2019-10-07 11:07:08 -0400","ocd-division/country:us/state:mo/cd:2","MO","2",false,"2902",1.24,93.22,7.03,,"87412",,,,,
"A000361","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000361.json","Rodney","Alexander","1946-12-05","M","R","USRepAlexander","RepRodneyMAlexander","400006","90327","/m/025jxc","","",false,"4",1214,15,0,"2019-10-07 11:07:08 -0400","ocd-division/country:us/state:la/cd:5","LA","5",false,"2205",1.24,97.63,2.63,,"1004256","RepRodneyAlexander",,,,
"A000357","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000357.json","Thomas","Allen","1945-04-16","M","D",,,"400007","29728",,"","",false,"10",1214,12,1,"2019-10-07 11:07:08 -0400","ocd-division/country:us/state:me/cd:1","ME","1",false,"2301",0.99,95.87,4.38,"H.",,,,,,
"A000210","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000210.json","Robert","Andrews","1957-08-04","M","D","RepAndrews",,"400008","29132",,"","http://andrews.house.gov/",false,"18",1214,104,1,"2019-10-07 11:07:08 -0400","ocd-division/country:us/state:nj/cd:1","NJ","1",false,"3401",8.57,94.06,6.22,"E.","19670",,,,,
"B001234","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001234.json","Joe","Baca","1947-01-23","M","D",,,"400009","29942","/m/024xk0","","",false,"8",1214,52,0,"2019-10-07 11:07:08 -0400","ocd-division/country:us/state:ca/cd:43","CA","43",false,"0643",4.28,94.32,5.94,,"81682",,,,,
"B000013","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000013.json","Spencer","Bachus","1947-12-28","M","R","BachusAL06","congressmanbachus","400010","29301","/m/024p0v","","http://bachus.house.gov",false,"14",1214,56,0,"2019-10-07 11:07:08 -0400","ocd-division/country:us/state:al/cd:6","AL","6",false,"0106",4.61,95.97,4.2,,"26397","SpencerBachus",,,,
"B001229","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001229.json","Brian","Baird","1956-03-07","M","D",,,"400011","29938","/m/02593n","","",false,"8",1214,63,3,"2019-10-07 11:07:08 -0400","ocd-division/country:us/state:wa/cd:3","WA","3",false,"5303",5.19,91.71,8.55,,"45981",,,,,
