"id","title","short_title","api_uri","first_name","last_name","date_of_birth","gender","party","govtrack_id","icpsr_id","fec_candidate_id","url","in_office","seniority","next_election","total_votes","missed_votes","total_present","last_updated","ocd_id","state","senate_class","state_rank","lis_id","missed_votes_pct","votes_with_party_pct","votes_against_party_pct","middle_name","twitter_account","youtube_account","cspan_id","google_entity_id","suffix","facebook_account","rss_url","votesmart_id","crp_id"
"A000355","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/A000355.json","Spencer","Abraham","1952-06-12","M","R","400555","49500","","",false,"5","2000",672,0,0,"2019-10-07 09:08:02 -0400","ocd-division/country:us/state:mi","MI","1","","S238",0,90.28,9.72,,,,,,,,,,
"A000069","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/A000069.json","Daniel","Akaka","1924-09-11","M","D","300001","14400","","",false,"9","2000",672,30,0,"2019-10-07 09:08:02 -0400","ocd-division/country:us/state:hi","HI","1","","S213",4.46,96.11,3.89,"K.","SenatorAkaka","senatorakaka","8704","/m/01rbrq",,,,,
"A000109","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/A000109.json","Wayne","Allard","1943-12-02","M","R","300003","15801","","",false,"3","2002",672,4,0,"2019-10-07 09:08:02 -0400","ocd-division/country:us/state:co","CO","2","","S250",0.6,92.33,7.67,"A.",,,,,,,,,
"A000356","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/A000356.json","John","Ashcroft","1942-05-09","M","R","400556","49501","","",false,"3","2000",672,14,0,"2019-10-07 09:08:02 -0400","ocd-division/country:us/state:mo","MO","1","","S239",2.08,93.28,6.72,,,,,,,,,,
"B000243","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B000243.json","Max","Baucus","1941-12-11","M","D","300005","14203","","http://www.baucus.senate.gov",false,"21","2002",672,7,0,"2019-10-07 09:08:02 -0400","ocd-division/country:us/state:mt","MT","2","","S127",1.04,91.13,8.87,,,"SenatorBaucus","1727","/m/01rcm2",,,,,
"B001233","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B001233.json","Evan","Bayh","1955-12-26","M","D","300006","49901","","",false,"1","2004",672,0,0,"2019-10-07 09:08:02 -0400","ocd-division/country:us/state:in","IN","3","","S264",0,90.63,9.38,,,"SenEvanBayh",,"/m/01rcnr",,,,,
"B000382","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B000382.json","Robert","Bennett","1933-09-18","M","R","300007","49307","","",false,"7","2004",672,8,0,"2019-10-07 09:08:02 -0400","ocd-division/country:us/state:ut","UT","3","","S231",1.19,95.31,4.69,"F.",,"SenatorBennett","25708","/m/01xtg9",,,,,
"B000444","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B000444.json","Joseph","Biden","1942-11-20","M","D","300008","14101","","",false,"27","2002",672,32,0,"2019-10-07 09:08:02 -0400","ocd-division/country:us/state:de","DE","2","","S010",4.76,92.19,7.81,"R.",,,"34",,"Jr.",,,,
"B000468","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B000468.json","Jeff","Bingaman","1943-10-03","M","D","300009","15101","","",false,"17","2000",672,6,0,"2019-10-07 09:08:02 -0400","ocd-division/country:us/state:nm","NM","1","","S167",0.89,91.44,8.56,,"jeffbingaman","SenJeffBingaman","590","/m/01xck2",,,,,
"B000611","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B000611.json","Christopher","Bond","1939-03-06","M","R","300010","15500","","",false,"13","2004",672,16,0,"2019-10-07 09:08:02 -0400","ocd-division/country:us/state:mo","MO","3","","S200",2.38,95.1,4.9,"S.",,"CSBondMO","2360","/m/01_6h2",,,,,
