"id","title","short_title","api_uri","first_name","last_name","date_of_birth","gender","party","govtrack_id","icpsr_id","fec_candidate_id","url","in_office","seniority","next_election","total_votes","missed_votes","total_present","last_updated","ocd_id","state","senate_class","state_rank","lis_id","missed_votes_pct","votes_with_party_pct","votes_against_party_pct","middle_name","twitter_account","youtube_account","cspan_id","google_entity_id","suffix","facebook_account","rss_url","votesmart_id","crp_id"
"A000355","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/A000355.json","Spencer","Abraham","1952-06-12","M","R","400555","49500","","",false,"1","2000",916,0,0,"2019-10-07 09:24:22 -0400","ocd-division/country:us/state:mi","MI","1","","S238",0,93.08,6.92,,,,,,,,,,
"A000069","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/A000069.json","Daniel","Akaka","1924-09-11","M","D","300001","14400","","",false,"5","2000",916,12,0,"2019-10-07 09:24:22 -0400","ocd-division/country:us/state:hi","HI","1","","S213",1.31,94.24,5.76,"K.","SenatorAkaka","senatorakaka","8704","/m/01rbrq",,,,,
"A000356","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/A000356.json","John","Ashcroft","1942-05-09","M","R","400556","49501","","",false,"1","2000",916,14,0,"2019-10-07 09:24:22 -0400","ocd-division/country:us/state:mo","MO","1","","S239",1.53,93.31,6.69,,,,,,,,,,
"B000243","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B000243.json","Max","Baucus","1941-12-11","M","D","300005","14203","","http://www.baucus.senate.gov",false,"17","1996",916,7,0,"2019-10-07 09:24:22 -0400","ocd-division/country:us/state:mt","MT","2","","S127",0.76,76.52,23.48,,,"SenatorBaucus","1727","/m/01rcm2",,,,,
"B000382","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B000382.json","Robert","Bennett","1933-09-18","M","R","300007","49307","","",false,"3","1998",916,29,0,"2019-10-07 09:24:22 -0400","ocd-division/country:us/state:ut","UT","3","","S231",3.17,94.33,5.67,"F.",,"SenatorBennett","25708","/m/01xtg9",,,,,
"B000444","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B000444.json","Joseph","Biden","1942-11-20","M","D","300008","14101","","",false,"23","1996",916,25,0,"2019-10-07 09:24:22 -0400","ocd-division/country:us/state:de","DE","2","","S010",2.73,85.31,14.69,"R.",,,"34",,"Jr.",,,,
"B000468","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B000468.json","Jeff","Bingaman","1943-10-03","M","D","300009","15101","","",false,"13","2000",916,8,0,"2019-10-07 09:24:22 -0400","ocd-division/country:us/state:nm","NM","1","","S167",0.87,85.97,14.03,,"jeffbingaman","SenJeffBingaman","590","/m/01xck2",,,,,
"B000611","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B000611.json","Christopher","Bond","1939-03-06","M","R","300010","15500","","",false,"9","1998",916,24,17,"2019-10-07 09:24:22 -0400","ocd-division/country:us/state:mo","MO","3","","S200",2.62,91.89,8.11,"S.",,"CSBondMO","2360","/m/01_6h2",,,,,
"B000711","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B000711.json","Barbara","Boxer","1940-11-11","F","D","300011","15011","","https://www.boxer.senate.gov",false,"3","1998",916,16,2,"2019-10-07 09:24:22 -0400","ocd-division/country:us/state:ca","CA","3","","S223",1.75,91.27,8.73,,"SenatorBoxer","SenatorBoxer","2470","/m/01c1n5",,"senatorboxer","https://www.boxer.senate.gov/rss/?p=release",,
"B001225","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B001225.json","William","Bradley","1943-07-28","M","D","401709","14702","","",false,"17","1996",916,80,1,"2019-10-07 09:24:22 -0400","ocd-division/country:us/state:nj","NJ","2","","S132",8.73,87.78,12.22,"Warren",,,,,,,,,
"B000780","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B000780.json","John","Breaux","1944-03-01","M","D","300012","13056","","",false,"9","1998",916,8,0,"2019-10-07 09:24:22 -0400","ocd-division/country:us/state:la","LA","3","","S179",0.87,79.64,20.36,"B.",,,,,,,,,
"B000919","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B000919.json","Hank","Brown","1940-02-12","M","R","401874","14803","","",false,"5","1996",916,0,0,"2019-10-07 09:24:22 -0400","ocd-division/country:us/state:co","CO","2","","S214",0,86.5,13.5,,,,,,,,,,
"B000953","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B000953.json","Sam","Brownback","1956-09-12","M","R","300013","29523","","",false,"1","1998",0,0,0,"2019-10-07 09:24:22 -0400","ocd-division/country:us/state:ks","KS","3","","S249",0,0,0,,"SenSamBrownback","SenatorSamBrownback",,"/m/0202ny",,,,,
"B000993","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B000993.json","Richard","Bryan","1937-07-16","M","D","400557","15701","","",false,"7","2000",916,2,0,"2019-10-07 09:24:22 -0400","ocd-division/country:us/state:nv","NV","1","","S206",0.22,83.8,16.2,"H.",,,,,,,,,
"B001057","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B001057.json","Dale","Bumpers","1925-08-12","M","D","402004","14300","","",false,"21","1998",916,39,0,"2019-10-07 09:24:22 -0400","ocd-division/country:us/state:ar","AR","3","","S014",4.26,91.42,8.58,,,,,,,,,,
"B001126","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B001126.json","Conrad","Burns","1935-01-25","M","R","300015","15702","","",false,"7","2000",916,2,0,"2019-10-07 09:24:22 -0400","ocd-division/country:us/state:mt","MT","1","","S211",0.22,94.72,5.28,,,,,,,,,,
"B001210","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B001210.json","Robert","Byrd","1917-11-20","M","D","300016","1366","","",false,"37","2000",916,0,0,"2019-10-07 09:24:22 -0400","ocd-division/country:us/state:wv","WV","1","","S017",0,83.05,16.95,"C.",,,,"/m/06bss",,,,,
"C000077","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/C000077.json","Ben","Campbell","1933-04-13","M","R","300017","15406","","",false,"3","1998",819,34,0,"2019-10-07 09:24:22 -0400","ocd-division/country:us/state:co","CO","3","","S225",4.15,84.64,15.36,"Nighthorse",,,,,,,,,
